127.0.0.1 - - [20/Apr/2020:08:53:11 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2020:08:53:11 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [20/Apr/2020:08:53:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:41:09 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:41:59 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:42:01 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:42:04 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:42:04 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:43:14 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:44:33 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:44:34 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:44:34 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:43 +0900] "GET /ex0420/ex01.html HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:44 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:45 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:45 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:46 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:47 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:09:45:47 +0900] "GET /ex0420/ex01.html HTTP/1.1" 304 -
